sense,sing_pl,sentence
form,sing,l'ouverture est singulière ou baroque avec un plan extérieur aplati étroite allongée sinueuse et fermée en partie par plusieurs apophyses blanches et dentelées qui se trouvent au-dedans de la lèvre ainsi que par les denticules de la columelle extérieure .
form,sing,ordinairement elles avoient une belle eau mais leur forme était presque toujours irrégulière et baroque .
form,sing,on détache cette nacre et on la travaille sur le tour pour lui donner la forme ronde ovale ou baroque ou la figure de poire suivant les perles qu'on veut imiter .
form,sing,cette vis est d'une forme peu régulière et même baroque composée de neuf ou dix spires couronnées en partie de tubercules aigus principalement vers le milieur de la coquille .
form,sing,les grandes et les petites prennent une forme régulière comme celle d'une petite poire d'une olive d'un globe ou bien une forme anguleuse et baroque selon que le premier peloton de suc durci ou caillé qui a servi de noyau et de base aux couches postérieurement appliquées était lui-même régulier ou irrégulier dans sa figure .
form,sing,les grandes et les petites prennent une forme régulière comme celle d'une petite poire d'une olive d'une globe ou bien une forme anguleuse et baroque .
form,sing,nous devons même voir la raison pour laquelle la larve fait souvent entrer dans la composition de son fourreau des pièces qui gâtent la symétrie des autres et qui lui donnent une forme désagréable et tout-à-fait baroque .
form,sing,cette espèce dont la figure est singulière et extrêmement baroque représente assez bien un t dans sa forme pliée  peut avoir jusqu' à plus de cinq pouces de longueur .
form,sing,la coquille des pourpres a tantôt dans son ensemble une forme triangulaire tantôt une figure arrondie ou baroque .
form,sing,rien d'aussi baroque que la figure de ces fourreaux .
form,sing,c'est aussi un bivalve mais plus baroque qu'aucun que j'aie vu par la grande inégalité des saillies de ses deux valves qui s'élèvent l'une et l'autre vers la charnière comme deux cornes et forment la plus grand partie du coquillage dont l'épaisseur est très grande comparativement à sa cavité .
form,sing,elle est baroque et singulière composée d'une valve inférieure très profonde qui se prolonge considérablement pour former une grosse pointe recourbée en-dessous raboteuse en-denhors chargée sur les flancs de côtes longitudinales de vive arrête saillantes et pliées vers les bords de l'ouverture comme l'huitre appellée la crête de coq .
form,sing,le choix du diamant se doit faire selon ces règles il doit être uni de bonne forme sans être baroque ni plein des glaces transparent et qu'il ne soit pas d'un blanc cristallin .
form,sing,le choix du diamant se doit faire selon ces règles il doit uni de bonne forme sans être baroque ni plein de glaces transparent et qu'il ne soit pas d'un blanc cristallin .
form,sing,le diamant brut doit être choisi uni de bonne forme sans être baroque ni plein de glaces transparent et qu'il ne soit pas d'un blanc cristallin .
form,sing,quand la pierre n'est point susceptible d'une belle forme ils la laissent ou ronde ou ovale ou baroque et la creusent par dessous pour y ménager quelque diversité des faces qui fassent jouer la lumière en différents sens .
form,sing,les unes ont une lèvre épaisse avec une clavicule garnie de quelque tubercules tandis que les autres ont une lèvre mince avec une volute simplement baroque dépourvue de tubercules .
form,sing,la caillou du rhin que l'on trouve aujourd'hui dans le lit de ce fleuve n'est autre chose qu'un canon de crystal de roche qui s'est détaché du rocher et qui à force de rouler parmi les autres pierres qui sont dans le rhin a usé les vives arrêtes de ses faces et est devenu par le laps du temps comme un cabochon d'une rondeur baroque .
form,sing,les côtes malouines sont de roc dur baroque .
form,sing,un perle d'orient forme en poire baroque doux un peu plombée d'un côté pesant vingt cinq grains ou six karats quatre seizes estimée deux cents livres .
form,sing,une perle d'orient forme en poire baroque doux et percée pesant vingt trois grains deux seizes ou cinq karats quatorze seizes estimée trois cent livres .
form,sing,une grande huître extrêmement baroque et presque noire en dehors et en dedans .
form,sing,celles qui font effervescence aux acides sont crétacées communément de couleur ou grise ou bleuâtre et de forme baroque .
form,sing,coquille univalve du genre des buccins à canal court et retoussé ainsi appellée à cause de sa forme baroque et de travers qui regne dans toutes ses parties .
form,sing,coquille univalve du genre des buccins de l'espèce triangulaire ainsi appellée à cause de sa forme baroque .
form,sing,dans les bivalves sont l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .
form,sing,elles sont branchues et d'une forme baroque la plupart d'un blanc jaunâtre et quelques unes bleues en dedans et toues couvertes d'une écorce blanchâtre plus ou moins épaisse enclavées les unes dans les autres .
form,sing,elles vont toujours en s'élévant de plus en plus et à l'endroit le plus élevé de la chaîne elle est coupée de vallées profondes bordé d'escarpemens dont il s'éleve des sommités de rochers singulièrement déchiquetés dont la forme baroque est occassionée par la décomposition du granit ou pierre de roche dont toutes ces montagnes et la majeure partie de celles de la daurie sont composées .
form,sing,ils sont arrondis obtus un peu aigus ou aplatis allongés ou de forme baroque .
form,sing,l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .
form,sing,la grande moule bleue et celle appelée la tulipe et plusieurs petites moules striées de forme baroque .
form,sing,les graines sont plates de forme très baroque cendrées et ont un bon goût de pois .
form,sing,on aura autant de petit cailloux compacts bien propres et d'une forme baroque qu'on a de pessaires à couvrir et dont le poids doit excéder un peu celui de chaque morceau de liége .
form,sing,ses fruits son triangulaires bruns ridés de forme baroque d'un bon pouce de diamètre et d'environ deux pouces de longeur .
form,sing,ses fruits sont de la grosseur d'un oeuf et quelque fois deux et trois fois plus gros d'une forme baroque garnis de pointes et de noeuds dans leur circonférence de couleur blanche en dedans et rougeâtre en dehors .
form,sing,ses fruits sont de la grosseur d'un oeuf quelque fois deux et frois fois plus gros d'une forme baroque garnis de pointes et de noeuds dans leur circonférence de couleur blanche en dedans et rougeâtre en dehors .
form,sing,un madréporte fort singulier et plat de forme ronde d'un pied un pouce de diamètre et feuilles fort minces espèce de cerveaux marins astroïtes dont le dessous est d'une forme baroque où il y a une coquille d'une huître épineuse fond rouge et une petite datte .
form,sing,une sardoine de forme baroque parsemée de petits yeux de sardonyx dont les zones sont d'un blanc mat et les prunelles marron .
form,sing,celle ci est d'une figure baroque dans toutes ses parties garnie de six côtes longitudinales chargées plus ou moins de feuillages irréguliers déchiquetés de couleur brune et enfumée aplatis et obtus principalement à la rangée qui borde la lèvre et où ces feuillages se prolongent en forme de pattes de crapaud .
form,sing,cette petite espèce est d'une figure baroque principalement dans ses spires qui sont compliquées de diverses cavités et sinuosités .
form,sing,il y a quelquefois trente quarante cinquante pièces de terre détachées de figure baroque et de consistence douteuse pour composer un revenu extrêmement modique .
form,sing,ce sont de grands blocs sans forme déterminée et dont la surface seule est baroque .
form,sing,la forme que plusieurs de ces teignes donnent à leur fourreau est tout-à-fait baroque dit m de réaumur .
form,sing,la figure de ce limaçon conique ou sabot est baroque par ses spires rentrantes et comme martelées .
gout,sing,cette partie était réservée au grand appelle qui fleurit dans la cent douzième olympiade et qui porta par-là à son plus haut degré la perfection de l'art chez les anciens qui depuis cette époque tomba dans un goût mesquin baroque et bizarre .
gout,sing,et voilà par quelle adresse ils vous rapportent en france à peu près le même goût qu'ils y avoient pris trop souvent maniéré spirituel chargé ou baroque en un mot éloigné de la simple grande saine et vraiment belle nature dont si rarement les italiens se sont écartés .
gout,sing,ce fut lui qui porta à son plus haut degré la perfection de l'art chez les anciens qui depuis ce temps tomba dans un goût mesquin baroque et bizarre .
gout,sing,de sorte qu'en copiant les tragédies angloises ils ont conservé à peu près le même goût timide contourné baroque en un mot éloigné de la simple grande saine et vraiment belle nature .
gout,sing,d'un goût baroque .
gout,sing,le goût qu'on appelle baroque ou de contraste .
,sing,
gout,sing,ce goût baroque est d'autant plus difficile à concevoir que l'usage de la préparation en question n'est pas sans danger .
gout,sing,ce livre est à proprement parler une critique des femmes mais dans un goût baroque et qui sent la misère et la pauvreté de son temps .
gout,sing,ces deux pièces sont composées dans le goût baroque .
gout,sing,ceux qui trouveront ces vers sur l'ingratitude trop graves pour figurer dans une babiole sont priés de considérer que la bigarrure constituë l'essentiel dans le goût baroque d'un receuil à la moderne .
gout,sing,des belles à paris et il y en a de plus de toits cent que je pourrois compter et saulër déclarent hautement que ce goût baroque peut être suisse nullement français et par conséquent contre nature .
gout,sing,elle est d'un goût baroque .
gout,sing,en vérité c'est un goût bien baroque .
gout,sing,en vérité disait-elle je ne te conçois pas si décidément tu as pris un goût si baroque pourquoi s'adresser à moi .
gout,sing,entre ces interstices remplies de figures et sur la bordure de ces tableaux on a pratiqué des ornements singuliers d'un goût très baroque .
gout,sing,entre ces séparations remplies des figures et sur la bordure de ces tableaux on a pratiqué des formes et des ornements d'un goût très baroque .
gout,sing,il paraît même que cette méthode se pratique dans quelques églises où l' on substituë par un goût baroque et male entendu plusieurs colifichets entassés les uns sur les autres aux plus excellents morceaux de nos grand maîtres qui ont pris tant de soins à nous représenter avec force et élégance les plus saints mystères de notre reglion .
gout,sing,il santa ou saint antoine de padoue est une très vieille église à six coupoles d'un goût tout aussi baroque que celle de saint marc à venise à laquelle on la compare .
gout,sing,j'aime mieux sans faire dédit a votre goût baroque si j'excite votre appétit .
gout,sing,j'avois satisfait le goût baroque de mes compatriotes dont je recevois les compliments en riant et je mourois d'envie de hâter la réforme jusqu'au bout .
gout,sing,juste aurele meissonnier architecte et décorateur dans le goût baroque d'après lui même .
gout,sing,l'étude assidue que le sieur caffieri a faite en italie des bonnes formes de l'antique donne lieu d'espérer que l'on verra reparoître dans les six chandeliers et la croix qu'il fait actuellement le vrai goût des ornements auquel avoit succédé en dépit de la nature un goût baroque dont les productions irrégulières ne resemblent à rien .
gout,sing,la composition est dans un goût baroque pour dire qu'elle n'est pas dans le bon goût .
gout,sing,mais ce goût baroque ne dura guère .
gout,sing,mais le tout est construit ou fait dans le goût le plus baroque .
gout,sing,nous remarquerons en deux mots au sujet de ce dernier article que le goût baroque qui y a été poussé jusqu' à l'excès est la honte de l'art que le plus pitoyable dessinateur peut y exceller .
gout,sing,on a donné à cette espèce de travail le nom de goût baroque .
gout,sing,on dit en termes de peinture qu'une figure un tableau sont dans le goût baroque .
gout,sing,on en est enfin venu à ce point de corruption qu'on a pratiqué sur les façades des édifices de ces ornements fantasques de ces enroulements du goût baroque que les gravures françaises et allemandes ont cherché à perpétuer .
gout,sing,on ne dira pas un baroque goût mais un goût baroque .
gout,sing,on y retrouve toujours le goût baroque du p guarini .
gout,sing,ornements d'architecture dans le goût baroque .
gout,sing,oui monsieur il vous prie de vous ressouvenir que c'est une traduction étrangère qu'il craint qu'on n'ouvre les yeux sur un goût si baroque et que cela ne tombe avant que d'être imprimé .
gout,sing,petersbourg seroient ils tous sur le même ton également d'un goût baroque tandis que le dieu du goût musical n'auroit d'autre autel que le théâtre de l'opera français .
gout,sing,point il y est accusé d'un goût extrêmement baroque et ne peut y retourner .
gout,sing,pour françois de cuvilliés il a publié des ornements d'architecture dans le goût baroque et il n'a pas peu contribué par ses gravures à répandre de toutes parts ce mauvais goût surtout en allemagne .
gout,sing,s'il est quelques esprits froids quequels âmes paresseuses qui tiennent encore au goût baroque des nos pères et qui veuillent à toute force rire à la comédie qu'ils écoutent ces barbares ce que leur adresse l'auteur du roué vertueux .
gout,sing,sept pièces de fantaisie dans le goût baroque gravées par lespilliez .
gout,sing,si quelques uns de nos voyageurs avoient rencontré cette jolie créature dans l'une des deux indes une telle bigarrure de tels ornements eussent paru dignes de figurer parmis les raretés de nos curieux d'europe et les érudits auroient longuement disserté sur le goût baroque des ces peuple incivilisés .
ornament,sing,on y remarque surtout les chapiteaux et les bases des colonnes qui sont d'un dessein aussi singulier que baroque .
ornament,sing,le tout forme un assemblage monstrueux et baroque d'une mauvais style d'un mauvais effet et qui ne répond nullement à l'idée de ces superbes tombeaux dont les argigentins se plaisoient à embellir leur ville .
ornament,sing,le duc de caravita y a fait exécuter en pierre dans un jardin qu'il a près du palais du roi tout ce que l'imagination a jamais produit de plus bizarre et de plus baroque .
ornament,sing,le duc de caravita y a fait exécuter en pierre dans un jardin qu'il a près du palais du roi tout ce que l'imagination ait jamais produit de plus bizarre et de plus baroque .
ornament,sing,le premier qui est très baroque est caractérisé par les attributs de neptune son trident et des chevaux marins .
ornament,sing,six magnifiques compotiers à bords bruns contournés le tigre dragon volant gerbe de roseaux arbre au poivre rameau fleuri un pêcheur dans un bâteau et autres ornements le tout baroque à fond blanc et très propre .
ornament,sing,cette vignette est renfermée dans une bordure de forme baroque enrichie de trophées d'armes par le haut et par les côtés avec des palmes et des lauriers au bas des deux côtés d'un cartel où dont des armes .
ornament,sing,deux fort grandes bouteilles rondes à goulots cylindriques montées de couvercles et de pieds de cuivre de la chine avec trois compartiments baroque le dragon volant et ornements l'une est endommagée .
ornament,sing,deux fort jolies grands caffetières à douze compartiments le tout baroque et d'un goût singulier .
ornament,sing,deux magnifiques plats profonds à bords bruns contournés en dedans un compartiment ovale où l'on voit au pied d'une montagne en cascade sur une eau agitée un vaisseau japonois avec figures du reste de très belles perspectives en paysages arbres et fleurs le bord baroque et étoffé en dehors à noeuds légers le tout d'une couleur vive supérieurement dessiné et d'une ordonannce toute particulière .
ornament,sing,huit plats profonds à l'arbre au poivre le bord baroque à fleurs très beaux l'un endommagé .
ornament,sing,un très beau plat à poisson profond à bord baroque émaillé et plat en dedans une compagnie chinoise avec barrières fleurs et ornements .
ornament,sing,une autre un peu plus grande à paons fleurs et ornements de relief à bandes d'or et de bleu le bord baroque .
ornament,sing,une garniture de trois pièces consistant en une urne et deux cornets à six compariments avec bouquets oiseaux arbres et fleurs le bord baroque à dentelle et broderie l'urne est endommagée .
other,sing,et l'enroué ne chantera t il ses louanges que d'une voix discordante et baroque .
other,sing,en effet les termes de travers de jargon de tournure plate triviale baroque barbare inepte ridicule stupide et cetera relevent sans cesse la gracce de vos discours et vous avez épuisé pour m gilbert le répertoire de vos aménités critiques .
other,sing,tous enfin se monterent sur un ton si haut si baroque et si fou qu'ils formerent le choeur le plus extraordinaire le plus bruyant et el plus ridicule qu'on eût entendu devant et depuis celui des .
other,sing,c'est titre le plus singulier le plus baroque le plus étrange enfin qui soit peut-être parmi toutes les pièces connues .
other,sing,ce qui a paru de lui dans le public se réduit à des odes au-dessous de médiocre à une saytre sur le goût dont les principes sont assez judicieux et al versification heureuses par intervalles à un poème intitulé mon odyssée qu'on croiroit avoir été fait pour des lecteurs tudesques tant le style en est dur et baroque tant les rimes en sont bizarres .
other,sing,cette traduction semble inexacte d'un style dur et baroque rompu .
other,sing,écrites d'un style welche et baroque elles présentent des idées louches souvent inintelligibles .
other,sing,principes sont assez judicieux et al versification heureuses par intervalles à un poème intitulé mon odyssée qu'on croiroit avoir été fait pour des lecteurs tudesques tant le style en est dur et baroque et tant les rimes en sont bizarres .
other,sing,si ce style bizarre et baroque engage d'un côte par sa singularité à rechercher l'ouvrage et le fait vendre plus cher .
other,sing,cette réponse doit avoir paru très baroque au seigneur don antonio ricardos carillo .
other,sing,cela posé je dis qu'une loi qui dans l'état actuel où sont les bénéfices du royaume en défendroit purement et simplement la pluralité seroit en certains points baroque .
