sentence,sense,kinds,music,form,language,aesthetics,instances,pos,modified_noun,dep_parse
ordinairement elles avaient une belle eau mais leur forme était presque toujours irrégulière et baroque .,form,form,-,forme,-,-,1756_wc,adjective,forme,- 
assurément cet argument est en baroco .,baroco,baroco,-,-,-,-,1712,-,-,-
mais mademoiselle un philosophe ne sait danser qu'en baroco .,baroco,baroco,-,-,-,-,1728ja,-,-,-
qui doivent donc faire des préceptes qui répondent à la clarté de ces principes et qui ne sont guerre d'un plus grand secours à l'entendement que les mots baroco bocardo ferison sont doux à l'oreille .,baroco,baroco,-,-,-,-,1737b,-,-,-
on n'a pas cru aussi devoir s'arrêter au dégoût de quelques personnes qui ont en horreur certains termes artificiels qu'on a formés pour retenir plus facilement les diverses manieres de raisonner comme si c'étoient des mots de magie et qui font souvent des railleries assez froides sur baroco et baralipton comme tenant du caractere de pedant .,baroco,baroco,-,-,-,-,1741e,-,-,-
ces baroco et baralipton qui rendent leurs suppôts ainsi crottés et enfumés ce n'est pas elle ils ne la connoissent que par oui-dire comme elle fait état de sereiner les tempêtes de l'ame et d'apprendre à rire la faim et les fievres non par épicyles imaginaires mais par raisons naturelles et probables .,baroco,baroco,-,-,-,-,1746f,-,-,-
un syllogisme en baroco a la majeur universelle affirmative et les deux autres propositions particulières négatives et par la propriété générale de la 2e figure son moyen terme est deux fois attribut .,baroco,baroco,-,-,-,-,1752e,-,-,-
l'on s'y étend sur des catégories des universaux des dégrés métaphysiques des syllogismes in baroco et l'on n'y dit qu'un mot de l'existence de la sagesse et de la providence d'un dieu .,baroco,baroco,-,-,-,-,1761xxxa,-,-,-
je vous avouerai tout uniment mgr que je n'ai pas voulu souscrire à toutes ces alternatives in baroco de peur d'acheter chat en poche .,baroco,baroco,-,-,-,-,1764c,-,-,-
me répondriez-vous bien monsieur le duc qu'en souscrivant à toutes ces alternatives in baroco je n'acheterai point chat en poche .,baroco,baroco,-,-,-,-,1764c,-,-,-
pendant des années entieres vous occupez de jeunes gens à l'étude des formes substantielles des à parte mentis et rei des secondes intentions des argumens in baroco in barbara in baralipton .,baroco,baroco,-,-,-,-,1764ra,-,-,-
il ne nous fait femme qu'en baroco .,baroco,baroco,-,-,-,-,1769_wd,-,-,-
le papa raisonne en baroco .,baroco,baroco,-,-,-,-,1769_wd,-,-,-
on n'aime plus guere qu'en baroco .,baroco,baroco,-,-,-,-,1769_wd,-,-,-
sans être un peu sage en baroco .,baroco,baroco,-,-,-,-,1769_wd,-,-,-
il y a bien de l'apparence que ce terme vient du baroco des logiciens .,baroco,baroco,-,-,-,-,1771_k,-,-,-
que dirait un turc transplanté dans nos ecoles si après dix ans d'étude son maître ne lui avait rempli la tête que de mots bizarres de forme substantielle d'arguments in baroco de syllogisme in baralipton .,baroco,baroco,-,-,-,-,1775za,-,-,-
si un homme passait pour avoir du mérite on commençait par proposer quelque argument in baroco très-souvent afin de juger si sa réputation étoit bien fondée .,baroco,baroco,-,-,-,-,1778_k,-,-,-
modes appartenans à cette figure deux généraux deux particuliers exprimés par ces mots cesare camestres festino baroco . ,baroco,baroco,-,-,-,-,1780o,-,-,-
