category,sentence,sentence_lemmatized
animal,a l'extérieur la civette mâle ne se peut distinguer de la civette femelle ., à le extérieur le civette mâle ne se pouvoir distinguer de le civette femelle .
substance,a la gomme dont vous prétendez faire usage ajoutez deux gros de musc et un demi-gros de civette ., à le gomme dont il prétendre faire usage ajouter deux gros de musc et un demi-gro de civette .
substance,au lieu de tirer de l'huile il faut faire une teinture de cannelle qui approchera fort de la quintessence huileuse en la faisant aux esprits rectifiés comme celle de l'ambre du musc et de la civette ., à le lieu de tirer de le huile il falloir faire un teinture de cannelle qui approcher fort de le quintessence huileux en le faire à le esprit rectifier comme celui de le ambre de le musc et de le civette .
plant,au mois de mars lorsque les premières feuilles commencent à paroître on leve les touffes de civette on sépare les cayeux qui les composent et on les replante en paquets de trois ou quatre seulement que l'on espace de sept à huit pouces ., à le mois de mars lorsque le premier feuille commencer à paroître on lever le touffe de civette on séparer le cayeu qui le composer et on le replanter en paquet de trois ou quatre seulement que on espace de sept à huit pouce .
substance,aujourd'hui la civette est encore conseillée dans quelques compositions pharmaceutiques ., aujourd'hui le civette être encore conseiller dans quelque composition pharmaceutique .
substance,aussi la civette du mâle a une odeur plus forte et plus agréable que celle de la femelle ., aussi le civette de le mâle avoir un odeur plus fort et plus agréable que celui de le femelle .
substance,avant d'expliquer ces trois sortes de quintessences il faut dire ce que c'est que le musc et la civette ., avant de expliquer ce trois sorte de quintessence il falloir dire ce que ce être que le musc et le civette .
plant,ayez une perdrix de bon fumet cuite à la broche dans laquelle vous aurez mis dans le corps deux rocamboles deux échalottes un peu de civette quelques feuiles d'estragon ., avoir un perdrix de bon fumet cuit à le broche dans lequel il avoir mettre dans le corps deux rocambole deux échalotte un peu de civette quelque feuile de estragon .
animal,bellonius s'est trompé en assurant que l'hyène des anciens était la même chose que la civette des modernes ., bellonius se être tromper en assurer que le hyène de le ancien être le même chose que le civette de le moderne .
plant,c'est ce qu'on apelle aussi cive dont il y a trois espèces la cive de portugal la grosse cive d'angleterre et la petite qui est la seule qu'on nomme civette ., ce être ce que on apeler aussi cive dont il y avoir trois espèce le cive de portugal le gros cive de angleterre et le petit qui être le seul que on nommer civette .
