category,sentence_mod_orth
animal,a l'extérieur la civette mâle ne se peut distinguer de la civette femelle.
animal,bellonius s'est trompé en assurant que l'hyène des anciens était la même chose que la civette des modernes.
animal,ce qu'on recherche de la civette est sa liqueurs onctueuse et épaisse comme une sueur condensée qui s'amasse dans une poche placée dans les mâles entre leurs testicules et leur membre et dans les femelles entre la nature et l'anus.
animal,ces deux poches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques auteurs anciens les ayent confondus.
animal,ces deux pouches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques auteurs anciens les aient confondus.
animal,ces muscles ayant été endommagés dans notre civette je n'ai pu suivre ni déterminer leurs attaches non plus que celles d'un muscle commun aux deux poches dont les anatomistes font mention.
animal,cette description peut être d'autant plus intéressante pour l'histoire naturelle que la civette n'est pas le seul animal qui ait une poche pour un parfum particulier.
animal,dans la civette que j'ai disséquée chaque poche avait 2 pouces 3 lignes de hauteur et toutes deux ensemble 2 pouces 2 lignes de diametre.
animal,il diffère de la civette en ce qu'il a le corps plus allongé le museau plus délié la queue plus longue et mieux marquée de taches et d'anneaux le poil plus court plus mollet point de crinière sur le cou ni le long de l'épine du dos point de noir au-dessous des yeux ni sur les joues.
animal,il est certain que l'hyène n'est point la civette.
animal,il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait mais enfin on voit bien que le méchanisme est destiné à en empêcher l'écoulement perpétuel.
animal,il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait.
animal,il pend extérieurement entre les cuisses de la civette.
animal,il y a un animal qu'on appelle la genette qui est taché de même qui a la tête à peu près de la même forme et qui porte come la civette un sac dans lequel se filtre une humeur odorante.
animal,ils ont quelque ressemblance avec la genette qui comme la civette porte une sac dans lequels se filtre une humeur odorante.
animal,l'académie a déja donné il y a long-temps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le rest.
animal,l'académie a déjà donné il y a longtemps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le reste.
animal,l'animal que nous appellons civette est originaire d'afrique et se nomme kastor dans la guinée.
animal,l'animal que nous appellons ici civette est originaire d'afrique et se nomme kastor dans la guinée.
animal,la civette a deux dents de plus que le zibet.
animal,la civette connue aussi par quelques auteurs français sous le nom de chat musqué ressemble plutôt au renard qu'au chat dont elle a d'ailleurs l'agilité.
animal,la civette est commune dans cette partie de l'afrique qui est entre le niger et les montagnes d'atlas.
animal,la civette est un animal fort sauvage.
animal,la civette est un petit animal à peu près fait comme un chat à la réserve que son museau est plus pointu qu'il a les grisses moins dangereuses et crie autrement.
animal,la civette et le zibet quoique originaires et natifs des climats les plus chauds de l'afrique et de l'asie peuvent cependant vivre dans les pays tempérés et même froids pourvu qu'on les défende avec soin des injures de l'aire et qu'on leur donne des aliments succulents et choisis.
animal,la civette et le zibet sont deux animaux propre aux climats chauds de l'ancien continent.
animal,la civette et le zibet sont donc toutes deux des animaux de l'ancien continent elles n'ont entre elles que les différences extérieures que nous avons indiquées ci-devant.
animal,la civette forme donc un genre particulier d'animal voisin de la genette ou de la fossane dans la famille que j'appellerai la famille des lions ou des chats.
animal,la civette ne fouille pas la terre pour en tirer les cadavres.
animal,la civette ne se trouve qu'en afrique et plus communément en ethiopie et au sénégal où on l'appelle  kankan.
animal,la civette se nomme kastor dans la guinée.
animal,la civette se trouve aussi dans le même pays que l'hyène elle a comme elle de longs poils le long de dos et une ouverture ou fente particulière.
animal,la civette tient beaucoup du chat et l'hyène au contraire est une espèce de loup.
