sentence,sense,modified_noun,dep_parse,date,decade,location,region
l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .,form,forme,amod,1788,1770,Amsterdam,Netherlands
le choix du diamant se doit faire selon ces règles il doit être uni de bonne forme sans être baroque ni plein des glaces transparent et qu'il ne soit pas d'un blanc cristallin .,form,na,-,1741,1740,Amsterdam,Netherlands
elles vont toujours en s'élévant de plus en plus et à l'endroit le plus élevé de la chaîne elle est coupée de vallées profondes bordé d'escarpemens dont il s'éleve des sommités de rochers singulièrement déchiquetés dont la forme baroque est occassionée par la décomposition du granit ou pierre de roche dont toutes ces montagnes et la majeure partie de celles de la daurie sont composées .,form,forme,amod,1787,1780,Berne,Switzerland
c'est aussi un bivalve mais plus baroque qu'aucun que j'aie vu par la grande inégalité des saillies de ses deux valves qui s'élèvent l'une et l'autre vers la charnière comme deux cornes et forment la plus grand partie du coquillage dont l'épaisseur est très grande comparativement à sa cavité .,form,na,-,1780,1780,Hague,Netherlands
dans les bivalves sont l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .,form,forme,amod,1773,1770,Neuchatel,Switzerland
c'est aussi un bivalve mais plus baroque qu'aucun que j'aie vu par la grande inégalité des saillies de ses deux valves qui s'élèvent l'une et l'autre vers la charnière comme deux cornes et forment la plus grand partie du coquillage dont l'épaisseur est très grande comparativement à sa cavité .,form,na,-,1780,1780,Paris,France
ses fruits son triangulaires bruns ridés de forme baroque d'un bon pouce de diamètre et d'environ deux pouces de longeur .,form,forme,amod,1767,1760,Paris,France
cette espèce dont la figure est singulière et extrêmement baroque représente assez bien un t dans sa forme pliée  peut avoir jusqu' à plus de cinq pouces de longueur .,form,figure,-,1775,1770,Paris,France
l'ouverture est singulière ou baroque avec un plan extérieur aplati étroite allongée sinueuse et fermée en partie par plusieurs apophyses blanches et dentelées qui se trouvent au-dedans de la lèvre ainsi que par les denticules de la columelle extérieure .,form,ouverture,-,1775,1770,Paris,France
coquille univalve du genre des buccins à canal court et retoussé ainsi appellée à cause de sa forme baroque et de travers qui regne dans toutes ses parties .,form,forme,amod,1775,1770,Paris,France
les unes ont une lèvre épaisse avec une clavicule garnie de quelque tubercules tandis que les autres ont une lèvre mince avec une volute simplement baroque dépourvue de tubercules .,form,volute,amod,1775,1770,Paris,France
la figure de ce limaçon conique ou sabot est baroque par ses spires rentrantes et comme martelées .,form,figure,nsubj,1775,1770,Paris,France
une grande huître extrêmement baroque et presque noire en dehors et en dedans .,form,huître,amod,1736,1730,Paris,France
nous devons même voir la raison pour laquelle la larve fait souvent entrer dans la composition de son fourreau des pièces qui gâtent la symétrie des autres et qui lui donnent une forme désagréable et tout-à-fait baroque .,form,forme,-,1737,1730,Paris,France
ses fruits sont de la grosseur d'un oeuf et quelque fois deux et trois fois plus gros d'une forme baroque garnis de pointes et de noeuds dans leur circonférence de couleur blanche en dedans et rougeâtre en dehors .,form,forme,amod,1749,1740,Paris,France
un madréporte fort singulier et plat de forme ronde d'un pied un pouce de diamètre et feuilles fort minces espèce de cerveaux marins astroïtes dont le dessous est d'une forme baroque où il y a une coquille d'une huître épineuse fond rouge et une petite datte .,form,forme,amod,1756,1750,Paris,France
la forme que plusieurs de ces teignes donnent à leur fourreau est tout-à-fait baroque dit m de réaumur .,form,forme,nsubj,1759,1750,Paris,France
la caillou du rhin que l'on trouve aujourd'hui dans le lit de ce fleuve n'est autre chose qu'un canon de crystal de roche qui s'est détaché du rocher et qui à force de rouler parmi les autres pierres qui sont dans le rhin a usé les vives arrêtes de ses faces et est devenu par le laps du temps comme un cabochon d'une rondeur baroque .,form,rondeur,amod,1762,1760,Paris,France
on détache cette nacre et on la travaille sur le tour pour lui donner la forme ronde ovale ou baroque ou la figure de poire suivant les perles qu'on veut imiter .,form,forme,-,1766,1760,Paris,France
les graines sont plates de forme très baroque cendrées et ont un bon goût de pois .,form,forme,amod,1767,1760,Paris,France
elles sont branchues et d'une forme baroque la plupart d'un blanc jaunâtre et quelques unes bleues en dedans et toues couvertes d'une écorce blanchâtre plus ou moins épaisse enclavées les unes dans les autres .,form,forme,amod,1768,1760,Paris,France
on aura autant de petit cailloux compacts bien propres et d'une forme baroque qu'on a de pessaires à couvrir et dont le poids doit excéder un peu celui de chaque morceau de liége .,form,forme,amod,1770,1770,Paris,France
celles qui font effervescence aux acides sont crétacées communément de couleur ou grise ou bleuâtre et de forme baroque .,form,forme,amod,1774,1770,Paris,France
cette vis est d'une forme peu régulière et même baroque composée de neuf ou dix spires couronnées en partie de tubercules aigus principalement vers le milieur de la coquille .,form,forme,-,1775,1770,Paris,France
coquille univalve du genre des buccins de l'espèce triangulaire ainsi appellée à cause de sa forme baroque .,form,forme,amod,1775,1770,Paris,France
la coquille des pourpres a tantôt dans son ensemble une forme triangulaire tantôt une figure arrondie ou baroque .,form,figure,-,1775,1770,Paris,France
celle ci est d'une figure baroque dans toutes ses parties garnie de six côtes longitudinales chargées plus ou moins de feuillages irréguliers déchiquetés de couleur brune et enfumée aplatis et obtus principalement à la rangée qui borde la lèvre et où ces feuillages se prolongent en forme de pattes de crapaud .,form,figure,amod,1775,1770,Paris,France
cette petite espèce est d'une figure baroque principalement dans ses spires qui sont compliquées de diverses cavités et sinuosités .,form,figure,amod,1775,1770,Paris,France
ils sont arrondis obtus un peu aigus ou aplatis allongés ou de forme baroque .,form,forme,amod,1775,1770,Paris,France
une sardoine de forme baroque parsemée de petits yeux de sardonyx dont les zones sont d'un blanc mat et les prunelles marron .,form,forme,amod,1780,1780,Paris,France
la grande moule bleue et celle appelée la tulipe et plusieurs petites moules striées de forme baroque .,form,forme,amod,1780,1780,Paris,France
