sense,sentence,sentence_mod_orth,sentence_lemmatized
animal,Presque tous les Naturalites avoient confondu la civette et le zibet et les avoient cru de la même espèce .,Presque tous les Naturalites avaient confondu la civette et le zibet et les avaient cru de la même espèce ., presque tout le Naturalites avoir confondre le civette et le zibet et le avoir cru de le même espèce .
animal,La civette se nomme kastor dans la Guinée .,La civette se nomme kastor dans la Guinée ., le civette se nommer kastor dans le Guinée .
animal,La Genette habite l'Espagne la Turquie Européenne et delà vient qu'elle est plus petite plus douce et moins cruelle que la civette .,La Genette habite l'Espagne la Turquie Européenne et delà vient qu'elle est plus petite plus douce et moins cruelle que la civette ., le Genette habiter le Espagne le Turquie européen et delà venir que il être plus petit plus doux et moins cruel que le civette .
animal,Leur espèce tient un peu de celle des Fouines elles sont les antipodes de la civette et de la Genette .,Leur espèce tient un peu de celle des Fouines elles sont les antipodes de la civette et de la Genette ., son espèce tenir un peu de celui de le Fouines il être le antipode de le civette et de le Genette .
animal,L'Académie a déjà donné il y a long-temps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le reste .,L'Académie a déjà donné il y a longtemps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le reste ., le académie avoir déjà donner il y avoir longtemps un description anatomique de le civette accompagner de planche et le sac où ce animal porter le parfum qui lui être particulier ne manquer pas de être décrire avec le reste .
animal,Il pend extérieurement entre les cuisses de la civette .,Il pend extérieurement entre les cuisses de la civette ., il pendre extérieurement entre le cuisse de le civette .
animal,On en avoit grossiérement découpé toutes les parties et on n'avoit épargné que le sac où la civette porte son parfum .,On en avait grossiérement découpé toutes les parties et on n'avait épargné que le sac où la civette porte son parfum ., on en avoir grossiérement découper tout le partie et on ne avoir épargner que le sac où le civette porter son parfum .
animal,Il est vrai que l'on ne connoît pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait .,Il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait ., il être vrai que on ne connaître pas assez le civette pour savoir en quel occasion il jeter son huile quel usage il en faire .
animal,Le sac du parfum commun à la civette mâle et femelle et situé entre l'anus et le sexe de l'animal a son ouverture parallele à celle de l'anus .,Le sac du parfum commun à la civette mâle et femelle et situé entre l'anus et le sexe de l'animal a son ouverture parallèle à celle de l'anus ., le sac de le parfum commun à le civette mâle et femelle et situer entre le anus et le sexe de le animal avoir son ouverture parallèle à celui de le anus .
animal,Ces deux pouches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques Auteurs anciens les aient confondus .,Ces deux pouches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques Auteurs anciens les aient confondus ., ce deux pouche être beaucoup plus gros que le testicule de le civette qui le porter et il être surprendre de voir que quelque auteur ancien le avoir confondre .
animal,Ces muscles ayant été endommagés dans notre civette je n'ai pu suivre ni déterminer leurs attaches non plus que celles d'un muscle commun aux deux poches dont les Anatomistes font mention .,Ces muscles ayant été endommagés dans notre civette je n'ai pu suivre ni déterminer leurs attaches non plus que celles d'un muscle commun aux deux poches dont les Anatomistes font mention ., ce muscle avoir être endommager dans son civette il ne avoir pouvoir suivre ni déterminer son attache non plus que celui de un muscle commun à le deux poche dont le anatomiste faire mention .
animal,Mais Scaliger Ruel Matthiole Léon Africain Busbec Aldrovandus et autres modernes veulent que la civette ait été inconnue aux anciens et que ce soit une espèce de chat .,Mais Scaliger Ruel Matthiole Léon Africain Busbec Aldrovandus et autres modernes veulent que la civette ait été inconnue aux anciens et que ce soit une espèce de chat ., mais Scaliger Ruel Matthiole Léon Africain Busbec Aldrovandus et autre moderne vouloir que le civette avoir être inconnu à le ancien et que ce être un espèce de chat .
animal,Les deux principales marques que les Anciens disent convenir à leur hyene se trouvent aussi dans la civette .,Les deux principales marques que les Anciens disent convenir à leur hyène se trouvent aussi dans la civette ., le deux principal marque que le ancien dire convenir à son hyène se trouver aussi dans le civette .
